sentID,words,swapsEager,swapsLazy,swapsLazier,avgBlockSizeEager,avgBlockSizeLazy,avgBlockSizeLazier,avgAltBlockSizeEager,avgAltBlockSizeLazy,avgAltBlockSizeLazier,better
22811,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22812,5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22813,10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22814,20,9,1,1,2.000000,2.000000,2.000000,1.000000,9.000000,9.000000,no
22815,18,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22816,5,2,2,2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,no
22817,26,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22818,24,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22819,10,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22820,13,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22821,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22822,4,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22823,8,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22824,6,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22825,20,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22826,18,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22827,11,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22828,17,6,4,4,2.500000,2.500000,2.500000,1.000000,1.500000,1.500000,no
22829,23,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22830,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22831,7,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22832,28,4,4,4,5.750000,5.750000,5.750000,1.000000,1.000000,1.000000,no
22833,16,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22834,8,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22835,1,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22836,4,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22837,5,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22838,36,50,4,4,2.500000,2.500000,2.500000,1.000000,12.500000,12.500000,no
22839,20,2,2,2,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,no
22840,18,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,no
22841,13,6,4,4,1.000000,1.000000,1.000000,1.000000,1.500000,1.500000,no
22842,23,6,4,4,5.500000,5.500000,5.500000,1.000000,1.500000,1.500000,no
